student_id,name,age,grade,email,school_email
1,Zane1,21,C,zane1816@outlook.com,zane1kg7@yahoo.com
3,Wendy3,22,B,wendy3551@outlook.com,wendy3p6j@outlook.com
4,Xander4,22,A,xander4736@yahoo.com,xander4t5s@yahoo.com
5,Victor5,19,A,victor5226@yahoo.com,victor5qzu@gmail.com
6,Ian6,19,D,ian6392@school.edu,ian61ho@yahoo.com
7,Leo7,22,A,leo7439@outlook.com,leo7nrg@outlook.com
8,Paul8,24,B,paul8435@yahoo.com,paul88if@yahoo.com
9,Wendy9,23,B,wendy9240@yahoo.com,wendy9wj8@gmail.com
10,Leo10,23,A,leo10980@school.edu,leo10es4@yahoo.com
11,Uma11,18,C,uma11314@school.edu,uma11zfu@yahoo.com
12,Rita12,18,B,rita12440@school.edu,rita12y92@outlook.com
13,Yara13,22,B,yara13854@school.edu,yara13691@gmail.com
14,Bob14,19,C,bob14854@school.edu,bob14dqm@yahoo.com
15,Quincy15,24,A,quincy15400@outlook.com,quincy15fxw@outlook.com
16,Tina16,19,A,tina16274@gmail.com,tina16io4@example.com
17,Alice17,25,B,alice17904@school.edu,alice17i34@example.com
18,Sam18,20,B,sam18920@gmail.com,sam18vb3@yahoo.com
19,Paul19,23,A,paul19130@yahoo.com,paul19nf8@outlook.com
20,Victor20,19,D,victor20945@school.edu,victor20zkp@yahoo.com
21,Frank21,23,A,frank21655@school.edu,frank2102e@yahoo.com
22,Victor22,18,A,victor22513@school.edu,victor225d1@yahoo.com
23,Karen23,25,A,karen23159@gmail.com,karen23xqo@example.com
24,Grace24,24,D,grace24405@outlook.com,grace24zke@gmail.com
25,Quincy25,25,A,quincy25691@school.edu,quincy25tzp@yahoo.com
26,Mona26,20,D,mona26828@yahoo.com,mona26sdw@outlook.com
27,Uma27,22,B,uma27872@outlook.com,uma27ak8@outlook.com
28,Nina28,23,B,nina28574@yahoo.com,nina281s1@yahoo.com
29,Ian29,23,B,ian29171@yahoo.com,ian29mbw@gmail.com
30,Tina30,23,A,tina30967@outlook.com,tina30loc@outlook.com
31,Nina31,22,B,nina31454@gmail.com,nina31wh9@gmail.com
32,Hannah32,21,A,hannah32814@outlook.com,hannah32n1t@yahoo.com
33,David33,25,D,david33904@outlook.com,david33r46@gmail.com
34,Wendy34,22,B,wendy34558@yahoo.com,wendy34yo1@gmail.com
35,Frank35,25,C,frank35378@yahoo.com,frank35jwi@example.com
36,Paul36,22,D,paul36817@school.edu,paul36nbi@yahoo.com
37,Ian37,21,D,ian37515@gmail.com,ian37t7z@yahoo.com
